id,birthY,gender,nationality,label
8704,1611,1,清,卻迷泓
8705,1611,1,清,形山洽
8706,1611,1,清,天節源中
8707,1611,1,清,且瀚源澯
8708,1594,1,清,達虗上
8709,1594,1,清,潤空圓
8710,1594,1,清,永慶源
8711,1606,1,清,庭南筏
8712,1606,1,清,眉雪宗
8713,1602,1,清,聖心覺
8714,1602,1,清,景山禪
8715,1602,1,清,德心常
8716,1602,1,清,超今
8717,1602,1,清,超尚
8718,1602,1,清,超圓
8719,1623,1,清,吼松澄
8720,1620,1,明 清,戎超通
8721,1594,1,清,山愚志
8722,1594,1,清,沛菴源
8723,1606,1,清,人華法
8724,1594,1,清,李遠可
8725,1594,1,清,天庵達
8726,1594,1,清,楚峰立
8727,1594,1,清,魯衡言
8728,1613,1,清,虗堂偉
8729,1594,1,清,易菴燧
8730,1594,1,清,電鋒例
8731,1594,1,清,幼衷孺
8732,1594,1,清,雨峰綱
8733,1616,1,清,華斯圓
8734,1596,1,清,天音朝
8735,1621,1,清,俍庵諴
8736,1621,1,清,玉輪澂
8737,1621,1,清,宏度梁
8738,1621,1,清,一覺永
8739,1621,1,清,鐵夫立
8740,1621,1,清,羽庵臯
8741,1621,1,清,季貞幹
8742,1621,1,清,一雲澂
8743,1621,1,清,獨懶一
8744,1615,1,清,鏡堂清
8745,1620,1,清,谷庵朴
8746,1620,1,清,中牧瑛
8747,1620,1,清,溢元
8748,1620,1,清,溢玄
8749,1620,1,清,一誠
8750,1620,1,清,海嶼
8751,1622,1,清,眉山眸
8752,1622,1,清,古律範
8753,1622,1,清,元符
8754,1622,1,清,元學
8755,1622,1,清,元撰
8756,1622,1,清,元密
8757,1622,1,清,元通
8758,1622,1,清,續緒
8759,1622,1,清,照悟
8760,1622,1,清,元德
8761,1610,1,清,寄崖知
8762,1620,1,清,元林
8763,1620,1,清,式庵理
8764,1620,1,清,恩寵欽
8765,1620,1,清,法持毅
8766,1644,1,清,天培鑑
8767,1626,1,明 清,契如元渠
8768,1596,1,清,澹然照
8769,1596,1,清,竺峰緒
8770,1596,1,清,天印燦
8771,1619,1,清,玉白清
8772,1619,1,清,紹古德
8773,1619,1,清,滌山慧
8774,1619,1,清,翠亭燿
8775,1619,1,清,陳寅
8776,1616,1,清,仲泉空
8777,1616,1,清,魯宗俊
8778,1602,1,清,具瞻仰
8779,1628,1,清,石堂曠
8780,1628,1,清,天海東
8781,1625,1,清,牧堂龍
8782,1610,1,清,一貫唯
8783,1610,1,清,雯谷初
8784,1627,1,清,偉南如
8785,1627,1,清,逸庵清
8786,1627,1,清,南虞備
8787,1596,1,清,卓午曜
8788,1596,1,清,蔣鑨
8789,1596,1,清,濟南暹
8790,1596,1,清,玉輪滿
8791,1632,1,清,嵩庵元基
8792,1632,1,清,師亮元密
8793,1632,1,清,天端元勤
8794,1596,1,清,南溟鵬
8795,912,1,北宋,錢唐義清
8796,1596,1,清,南宗皚
8797,1640,1,清,誕庵太
8798,1679,1,清,洞明照
8799,1640,1,清,宇亭尹
8800,1671,1,清,濟生元度
8801,1596,1,清,南耕震
8802,1596,1,清,覃有培
8803,1596,1,清,玉峰岑
8804,1596,1,清,奇石玉
8805,1596,1,清,克修挺
8806,1673,1,清,雪鴻元信
8807,1596,1,清,若杲泰
8808,1596,1,清,寧一恒
8809,1596,1,清,禹風叟
8810,1596,1,清,九乾貞
8811,1596,1,清,楊古拙
8812,1596,1,清,林繼芳
8813,1596,1,清,彬穆餘
8814,1596,1,清,漢牧照
8815,1623,1,清,則明誠
8816,1623,1,清,中賢旨
8817,1623,1,清,自見性
8818,1623,1,清,右文頴
8819,1623,1,清,天倫景
8820,1623,1,清,幻堂湛
